intersect	slope	p	BH	func	func_type	dataset
-0.00688453452331457	0.00403207306737019	0.0514693023309772	0.10119388254904	K08384	kos	ERP012177 | CRC
-0.000158410082091865	0.0698025576132509	4.37952039985785e-05	0.000227662432315186	K08475	kos	ERP012177 | CRC
-0.000158410082091865	0.0698025576132509	4.37952039985785e-05	0.000227662432315186	K08476	kos	ERP012177 | CRC
-0.000158410082091865	0.0698025576132509	4.37952039985785e-05	0.000227662432315186	K08478	kos	ERP012177 | CRC
-0.000134928027319989	0.0500103144146993	9.2444598777539e-06	6.80992504890202e-05	K08484	kos	ERP012177 | CRC
-0.000145491466501786	0.058881499665163	7.16244850669619e-06	5.85101427307576e-05	K08485	kos	ERP012177 | CRC
-0.00446431601012276	0.00236354808808286	0.0551380730479099	0.107586483995922	K08600	kos	ERP012177 | CRC
0.00365518321898944	-0.00779115918273714	0.0261810284340738	0.0565023125274894	K08602	kos	ERP012177 | CRC
-0.000509644886552288	0.0101296019524201	0.00888589919712451	0.0223984647311774	K08641	kos	ERP012177 | CRC
0.000103146501083634	-0.0178768575311374	4.94097257904972e-08	2.60524008713531e-06	K08659	kos	ERP012177 | CRC
-0.000217105492764747	0.0161936198024091	0.111459875232232	0.195528854849737	K08676	kos	ERP012177 | CRC
-0.00408750259273479	0.0202140608765489	0.00540494225639907	0.0146318156765996	K08680	kos	ERP012177 | CRC
0.00366258045400752	-0.0136935588789344	0.000290614939716549	0.00113793529137957	K08681	kos	ERP012177 | CRC
-0.000145491466501786	0.058881499665163	7.16244850669619e-06	5.85101427307576e-05	K08682	kos	ERP012177 | CRC
-7.52468649248981e-05	0.0624253892872899	3.77550066460736e-06	4.61008502204688e-05	K08723	kos	ERP012177 | CRC
0.00266100423659802	-0.0110190837484996	0.0926102164406638	0.16726796585624	K08724	kos	ERP012177 | CRC
-0.001025760938391	0.0200265602309378	2.37684819044866e-09	3.34199260717629e-07	K08963	kos	ERP012177 | CRC
-7.50210418494553e-05	0.0530009320005641	0.0196724562095468	0.0441393601606854	K08964	kos	ERP012177 | CRC
-9.57856575326127e-05	0.0365212172375449	0.00142116775078666	0.00455087533723266	K08965	kos	ERP012177 | CRC
-7.50210418494553e-05	0.0530009320005641	0.0196724562095468	0.0441393601606854	K08967	kos	ERP012177 | CRC
-6.46882238974612e-05	-0.0217290070622419	0.0801930348942165	0.14848191616487	K08969	kos	ERP012177 | CRC
0.0048894886284884	-0.0244507290660677	1.50071363100763e-06	2.96311116930868e-05	K08972	kos	ERP012177 | CRC
-0.00415645632187972	0.00421717325907935	0.106562105431325	0.18821780327421	K08974	kos	ERP012177 | CRC
-0.000275141656561552	0.0399741240975987	0.00253669688522361	0.00748269138425781	K08984	kos	ERP012177 | CRC
-6.7368403681474e-05	-0.0256953081432536	0.0281370406963006	0.0600256868187747	K08986	kos	ERP012177 | CRC
-4.95990874002904e-05	-0.0305140938218774	0.000883691843085163	0.00301938891893605	K08987	kos	ERP012177 | CRC
-7.49743727876319e-05	0.0724040660169774	0.0108330557184939	0.0264276438137811	K08989	kos	ERP012177 | CRC
-0.000145491466501786	0.058881499665163	7.16244850669619e-06	5.85101427307576e-05	K08990	kos	ERP012177 | CRC
-0.000141904671961226	0.0558865634618193	1.23674816974875e-05	8.23315854753832e-05	K08992	kos	ERP012177 | CRC
-0.000145491466501786	0.058881499665163	7.16244850669619e-06	5.85101427307576e-05	K08993	kos	ERP012177 | CRC
-7.52377838542067e-05	0.0499209140030253	3.60704817309224e-05	0.000194386800501138	K08994	kos	ERP012177 | CRC
-9.09381269173439e-05	0.0290661006576527	1.33463664726257e-05	8.73443447573814e-05	K08996	kos	ERP012177 | CRC
-7.51607050721125e-05	0.0656363595630061	2.1176490631561e-06	3.56010567139287e-05	K08997	kos	ERP012177 | CRC
0.00439143722977517	-0.0058738591290428	0.0982145355584651	0.175816143900956	K08998	kos	ERP012177 | CRC
0.000254829406375833	-0.00732991448591196	0.130686072035573	0.222489023398348	K08999	kos	ERP012177 | CRC
